pickup_day_name,trip_count,average_fare,average_tip
Friday,1352112,19.6727764711799,3.7462562198989433
Monday,1152834,20.55444905337629,3.897577057928548
Saturday,1308053,18.56458385860512,3.439451543630113
Sunday,1088938,20.962340886257987,3.8421243817370687
Thursday,1471423,19.941020923283105,3.8904913067146563
Tuesday,1344032,19.524611631270684,3.8067428974905355
Wednesday,1439736,19.770669900592885,3.8253712972378264
