Metric,Before policy change,After 5% fare increase,Change
Total fare revenue,181453738.88,190526425.824,9072686.944000006
Average fare per trip,19.815573057404023,20.806351710274225,0.9907786528702012
Total tips,34589904.92,36319400.166,1729495.2459999993
